A;B;C;D;E;F;G;H;I;J
3,5063571123998716;91,7152059873792;73,57274599321417;21,860628370598846;21,849130916868877;6,233472053886602;92,7978508166724;50,07849011761588;19,294993892844825;85,14770318017048
72,3021637236332;18,35172245637996;73,0776434044526;40,37444200244619;43,15025891889883;58,91044943424127;42,32331861886962;29,39002677713145;10,452169798941446;93,27757606815318
80,23468223804794;18,18309359059922;74,95368312239317;18,10433820676014;11,099747252098712;23,77242645760803;95,20293476811237;3,475954378180013;18,36162515726869;33,64034513433344
13,296655865663375;21,723714845464027;95,65511924867313;23,94616737653945;87,67475547611508;27,34357092922738;16,64481794701875;40,961938623360936;80,89326411706641;77,27792635799294
3,8271534767228;42,80451066854681;31,492579858871682;38,12238855759526;6,896152460887739;57,311024306018766;68,20319506839844;68,02936713187998;29,829668913156926;44,437692797880956
28,6978395399884;92,87851756481285;95,75311991836077;31,39563427701908;79,62083944558337;30,905722647350544;82,31165970831195;74,97353704485295;89,89851621933941;22,95592611923705
60,01494372725502;70,29974296928117;78,96075599004006;31,1122909789724;80,50724489142615;85,84472803957449;31,301060743496766;43,67294652388023;40,72916564325178;78,85259459612342
34,65215624364445;12,049473313607406;38,894358393766225;44,941158479745184;56,654870981939844;1,2604985705035876;68,01034230571487;83,06591391535709;46,577929041174514;48,4443160034953
96,30993575317679;75,7543853738286;51,29796932132113;98,89606601230219;75,08952014698193;11,207208512477319;12,23793821681226;92,69537954740377;48,646367941214166;12,483070030235044
59,60515773186904;86,56900691214331;47,17873997211684;47,25058206254501;61,55441459452112;28,791820739906115;88,44563946282568;54,6374249444884;11,015993928612101;93,3352674318874
29,328541526455954;62,199235021365254;92,23457642660458;91,0519522292023;96,30050834501081;56,430358171833625;35,106289845770974;2,600922321902932;57,27736469129784;81,06203903299038
8,107072466141318;51,14261386533446;76,91676383352444;66,87621296101118;8,148485968240893;48,30263296019566;38,64617340452976;31,834542326708014;37,559676073820455;14,445820461002956
42,62913282435241;11,743609834670977;26,12122829956909;69,238832286838;64,87482389485602;28,618828442875554;10,381694618271997;64,52891286160379;15,652006675564678;12,299205799739866
34,611490033241786;78,40253481438165;21,69671689749293;64,96844153840787;56,2315556926566;37,662713196838396;48,12111352105792;56,130341064672876;79,92512226752253;36,41275926359877
80,56560783133001;73,45099823930809;58,31741900467121;9,856370705921236;20,273819709412354;98,95302065863073;18,057633987277466;31,264247824024306;71,28011630223665;90,96859251555881
96,00459731098645;49,53326578948991;44,06412731010325;64,0087629087988;94,82857404059975;89,7134961031657;93,42163120768421;60,0695226051338;50,22744864148697;59,127928885157075
76,86386522048721;45,53017668044019;33,95775287065751;1,6119240630802278;58,04287231323566;38,48280792062132;1,308419498603186;86,70714989108606;41,60827698101204;32,37869709954621
60,6110498262816;99,29124140927465;98,45184306996832;1,875242960499568;45,457924301371;67,27505924667294;56,467617451080955;66,19769546385119;51,35189473339099;39,22781371403986
94,9510196197132;81,36538850934423;78,27642107548508;20,09895575161994;16,047826406633227;54,31518785753664;22,484405308648626;83,59754197404729;34,847278338960116;81,68799734736083
93,01311460767735;42,3820617236499;30,622604856652536;4,685288662779241;83,0386521585372;14,268816267874396;32,189735972233976;20,275811151318045;16,375790363859277;75,33681872526361
4,229927929727662;54,12306265746718;53,68441627520452;65,18262520331155;0,17900073096335234;54,53116651810382;94,46375645781411;61,79649123663717;22,340890325121844;16,636216670360447
74,41267917982344;54,2217114432417;60,14562455517194;34,821034282765865;48,296767087687165;90,10144100465993;3,1137645089428845;6,1816301822400055;50,270179492582756;16,629673125131315
15,024730831091338;6,087732708832205;55,90850130815773;62,66699538098365;5,356904453965761;66,49169697215547;94,59488151073114;18,29262180567499;76,49050980442887;77,32018412897212
